"file_names","register","Var1","tags","Freq"
"hem_soldier_MAT.txt","Hemingway","A","STPR",0.297136682874122
"hem_soldier_MAT.txt","Hemingway","A","SUAV",0.432198811453268
"hem_soldier_MAT.txt","Hemingway","A","THATD",0.243111831442464
"hem_soldier_MAT.txt","Hemingway","A","WHCL",0.108049702863317
"hem_soldier_MAT.txt","Hemingway","A","WHQU",0.0270124257158293
"hem_soldier_MAT.txt","Hemingway","A","WHSUB",0.135062128579146
"hem_soldier_MAT.txt","Hemingway","A","WZPAST",0.0540248514316586
"hem_soldier_MAT.txt","Hemingway","A","WZPRES",0.0540248514316586
"hpl_colour_MAT.txt","Lovecraft","A","BEMA",1.43230038150057
"hpl_colour_MAT.txt","Lovecraft","A","BYPA",0.0468509470584298
"hpl_colour_MAT.txt","Lovecraft","A","CONT",0.147245833612208
"hpl_colour_MAT.txt","Lovecraft","A","PASS",0.642527273944181
"hpl_colour_MAT.txt","Lovecraft","A","PASTP",0.0401579546215113
"hpl_colour_MAT.txt","Lovecraft","A","PEAS",1.43230038150057
"hpl_colour_MAT.txt","Lovecraft","A","PIRE",0.0602369319322669
"hpl_colour_MAT.txt","Lovecraft","A","PRESP",0.133859848738371
"hpl_colour_MAT.txt","Lovecraft","A","PRIV",1.41891439662673
"hpl_colour_MAT.txt","Lovecraft","A","PROD",0.140552841175289
"hpl_colour_MAT.txt","Lovecraft","A","PUBV",0.348035606719764
"hpl_colour_MAT.txt","Lovecraft","A","SERE",0.0267719697476742
"hpl_colour_MAT.txt","Lovecraft","A","SMP",0.234254735292149
"hpl_colour_MAT.txt","Lovecraft","A","SPAU",0.394886553778194
"hpl_colour_MAT.txt","Lovecraft","A","STPR",0.100394886553778
"hpl_colour_MAT.txt","Lovecraft","A","SUAV",0.127166856301452
"hpl_colour_MAT.txt","Lovecraft","A","THATD",0.254333712602905
"hpl_colour_MAT.txt","Lovecraft","A","WHCL",0.0468509470584298
"hpl_colour_MAT.txt","Lovecraft","A","WHOBJ",0.120473863864534
"hpl_colour_MAT.txt","Lovecraft","A","WHQU",0.0401579546215113
"hpl_colour_MAT.txt","Lovecraft","A","WHSUB",0.174017803359882
"hpl_colour_MAT.txt","Lovecraft","A","WZPAST",0.113780871427615
"hpl_colour_MAT.txt","Lovecraft","A","WZPRES",0.113780871427615
"hpl_cthulhu_MAT.txt","Lovecraft","A","BEMA",0.969789995116165
"hpl_cthulhu_MAT.txt","Lovecraft","A","BYPA",0.10465359659527
"hpl_cthulhu_MAT.txt","Lovecraft","A","CONT",0.00697690643968464
"hpl_cthulhu_MAT.txt","Lovecraft","A","PASS",0.58606014093351
"hpl_cthulhu_MAT.txt","Lovecraft","A","PASTP",0.10465359659527
"hpl_cthulhu_MAT.txt","Lovecraft","A","PEAS",1.3186353171004
"hpl_cthulhu_MAT.txt","Lovecraft","A","PIRE",0.125584315914324
"hpl_cthulhu_MAT.txt","Lovecraft","A","PRESP",0.139538128793693
"hpl_cthulhu_MAT.txt","Lovecraft","A","PRIV",1.52096560385125
"hpl_cthulhu_MAT.txt","Lovecraft","A","PROD",0.0418614386381079
"hpl_cthulhu_MAT.txt","Lovecraft","A","PUBV",0.49536035721761
"hpl_cthulhu_MAT.txt","Lovecraft","A","SERE",0.0767459708365311
"hpl_cthulhu_MAT.txt","Lovecraft","A","SMP",0.153491941673062
"hpl_cthulhu_MAT.txt","Lovecraft","A","SPAU",0.341868415544548
"hpl_cthulhu_MAT.txt","Lovecraft","A","STPR",0.0348845321984232
"hpl_cthulhu_MAT.txt","Lovecraft","A","SUAV",0.202330286750855
"hpl_cthulhu_MAT.txt","Lovecraft","A","THATD",0.111630503034954
"hpl_cthulhu_MAT.txt","Lovecraft","A","WHCL",0.0418614386381079
"hpl_cthulhu_MAT.txt","Lovecraft","A","WHOBJ",0.167445754552431
"hpl_cthulhu_MAT.txt","Lovecraft","A","WHQU",0.0209307193190539
"hpl_cthulhu_MAT.txt","Lovecraft","A","WHSUB",0.28605316402707
"hpl_cthulhu_MAT.txt","Lovecraft","A","WZPAST",0.118607409474639
"hpl_cthulhu_MAT.txt","Lovecraft","A","WZPRES",0.132561222354008
"hpl_dunwich_MAT.txt","Lovecraft","A","BEMA",1.1119347664937
"hpl_dunwich_MAT.txt","Lovecraft","A","BYPA",0.0509636767976279
"hpl_dunwich_MAT.txt","Lovecraft","A","CONT",0.486471460340993
"hpl_dunwich_MAT.txt","Lovecraft","A","PASS",0.625463306152706
"hpl_dunwich_MAT.txt","Lovecraft","A","PASTP",0.0833951074870274
"hpl_dunwich_MAT.txt","Lovecraft","A","PEAS",0.759822090437361
"hpl_dunwich_MAT.txt","Lovecraft","A","PIRE",0.125092661230541
"hpl_dunwich_MAT.txt","Lovecraft","A","PRESP",0.106560415122313
"hpl_dunwich_MAT.txt","Lovecraft","A","PRIV",1.32042253521127
"hpl_dunwich_MAT.txt","Lovecraft","A","PROD",0.0509636767976279
"hpl_dunwich_MAT.txt","Lovecraft","A","PUBV",0.41234247590808
"hpl_dunwich_MAT.txt","Lovecraft","A","SERE",0.0231653076352854
"hpl_dunwich_MAT.txt","Lovecraft","A","SMP",0.264084507042254
"hpl_dunwich_MAT.txt","Lovecraft","A","SPAU",0.33358042994811
"hpl_dunwich_MAT.txt","Lovecraft","A","STPR",0.11119347664937
"hpl_dunwich_MAT.txt","Lovecraft","A","SUAV",0.152891030392884
"hpl_dunwich_MAT.txt","Lovecraft","A","THATD",0.217753891771683
"hpl_dunwich_MAT.txt","Lovecraft","A","WHCL",0.0741289844329133
"hpl_dunwich_MAT.txt","Lovecraft","A","WHOBJ",0.0880281690140845
"hpl_dunwich_MAT.txt","Lovecraft","A","WHQU",0.0185322461082283
"hpl_dunwich_MAT.txt","Lovecraft","A","WHSUB",0.148257968865827
"hpl_dunwich_MAT.txt","Lovecraft","A","WZPAST",0.0926612305411416
"hpl_dunwich_MAT.txt","Lovecraft","A","WZPRES",0.148257968865827
"hpl_mountain_MAT.txt","Lovecraft","A","BEMA",0.954883924660534
"hpl_mountain_MAT.txt","Lovecraft","A","BYPA",0.026281208935611
"hpl_mountain_MAT.txt","Lovecraft","A","CONT",0.105124835742444
"hpl_mountain_MAT.txt","Lovecraft","A","PASS",0.534384581690758
"hpl_mountain_MAT.txt","Lovecraft","A","PASTP",0.113885238720981
"hpl_mountain_MAT.txt","Lovecraft","A","PEAS",0.770915462111257
"hpl_mountain_MAT.txt","Lovecraft","A","PIRE",0.166447656592203
"hpl_mountain_MAT.txt","Lovecraft","A","PRESP",0.236530880420499
