"author","text","avg_sentence_length","adj_density","adv_density","pron_density","subord_density","noun_verb_ratio","past_tense_pct","type_token_ratio","proper_noun_density","conj_density"
"Hemingway","Hills",7.80748663101604,2.89449112978525,3.828197945845,13.9122315592904,0.887021475256769,0.786764705882353,0,0.261137765592872,0.560224089635854,3.96825396825397
"Hemingway","Cat",9.41803278688525,4.29275158339198,3.80014074595355,11.5411681914145,0.562983814215341,1.15736040609137,0,0.323734729493892,1.75932441942294,3.51864883884588
"Hemingway","Indian",9.59868421052632,4.24710424710425,3.80584666298952,10.4247104247104,0.60672917815775,1.03614457831325,0,0.342268041237113,4.52289023717595,3.08880308880309
"Hemingway","Soldier",10.1861313868613,4.06959598938366,4.54143320554409,15.600117959304,1.20908286641109,0.91647855530474,0,0.258886894075404,2.8900029489826,4.39398407549395
"Hemingway","Bthr",12.7980922098569,5.777045579352,4.2613948380011,9.36847885777046,1.05436573311367,1.57636363636364,0,0.175532577550766,2.04283360790774,4.2723778143877
"Lovecraft","Colour",23.0204460966543,7.59366716813525,5.96747618024214,8.33870621104664,1.59753564008883,1.5060936497755,0,0.22676399026764,2.5933089762877,7.1136900924135
"Lovecraft","Dunwich",23.8037889039242,7.30405241446251,4.95510798349915,7.4981800533851,1.35404028148508,1.67692307692308,0,0.24622191576165,5.15894200436787,5.94515894200437
"Lovecraft","Cthulhu",26.9796380090498,8.17936171766596,4.98064704593588,7.43445556123567,1.35835828525524,1.86297376093294,0,0.281808177431643,4.53516395238443,6.34630833272475
"Lovecraft","Mountain",24.2354430379747,10.0879140396057,4.66210816090933,5.16827990409378,1.17218719474292,2.29370629370629,0,0.299936855398863,3.2767960216677,5.81653494361069
"Lovecraft","Outsider",30.7294117647059,8.79345603271984,6.23721881390593,10.838445807771,2.1813224267212,1.29539295392954,0,0.395204949729312,0.579413769597819,8.21404226312202
